epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2073.11,1.96725,2.44557,1.02773,0.39575,0.17841,0.11065,0.05666,1.75726,1.60853,0.97957,0.000237412,0.000237412,0.000237412
2,4303.09,1.822,1.5978,0.97957,0.22859,0.19449,0.13677,0.07243,1.7693,1.49973,0.96652,0.000381281,0.000381281,0.000381281
3,6426.27,1.77221,1.4796,0.96618,0.25567,0.22591,0.16479,0.08829,1.7047,1.37616,0.9544,0.000430901,0.000430901,0.000430901
4,8576.83,1.73257,1.40147,0.95464,0.28424,0.24349,0.1863,0.10198,1.6446,1.32267,0.94702,0.000289884,0.000289884,0.000289884
5,10770,1.6933,1.34964,0.94672,0.30474,0.26085,0.2089,0.11495,1.60903,1.26615,0.93501,0.000148512,0.000148512,0.000148512
